Users,Bandwidth,Latency,SignalStrength,PacketLoss,Throughput,Jitter,EnergyConsumption,HandoverRate,MobilitySpeed,EdgeServerLoad,NetworkSlice,Congestion
2070,569,23.28,88,8.49,413.54,18.45,66.34,10.8,129,50,eMBB,High
5906,874,37.65,85,1.33,587.02,7.78,67.53,4.03,77,24,mMTC,Low
6242,960,77.12,73,4.18,520.34,21.71,100.08,3.53,3,75,URLLC,High
3922,261,99.28,38,16.81,5.0,49.03,108.86,10.47,140,84,URLLC,High
2919,1041,33.41,37,5.88,293.32,13.47,59.48,9.56,162,20,eMBB,Medium
1002,735,7.38,98,3.03,677.06,7.38,31.93,6.18,127,17,eMBB,Low
464,1419,5.0,63,3.1,859.28,8.09,66.57,1.57,133,64,eMBB,Low
4358,773,45.87,45,4.64,225.45,15.28,49.51,2.58,30,15,mMTC,Medium
3219,109,69.78,92,9.84,11.58,31.79,79.95,7.87,137,62,URLLC,High
2658,1699,5.0,61,3.08,943.34,6.01,50.67,4.62,20,29,URLLC,Low
1963,1781,6.91,55,7.55,868.84,11.83,59.34,10.04,22,48,eMBB,Medium
215,1199,5.0,73,10.85,790.76,16.8,87.52,11.4,130,81,mMTC,High
2484,1484,24.63,80,5.89,1066.83,16.02,66.49,9.67,159,43,mMTC,Medium
5076,857,61.27,100,8.58,668.82,27.0,91.02,4.53,147,66,eMBB,High
4035,523,31.27,70,5.05,249.82,17.34,63.75,9.46,28,28,eMBB,Medium
5035,377,82.34,99,7.8,223.1,29.42,105.35,4.22,104,80,eMBB,High
6390,887,46.0,97,3.65,674.47,14.29,81.27,2.01,51,40,eMBB,Low
5542,924,86.19,69,4.62,474.46,24.33,122.7,0.4,114,91,URLLC,High
2590,1095,26.06,65,6.81,606.61,16.41,75.26,4.63,173,49,eMBB,Medium
5232,1464,31.84,62,7.68,718.79,18.12,67.03,10.84,161,23,eMBB,Medium
1042,1477,28.83,35,12.17,438.47,24.78,98.38,2.87,100,90,URLLC,High
1824,633,28.47,59,6.86,306.52,13.34,62.22,2.48,83,46,eMBB,Medium
2434,382,51.58,77,9.47,210.08,23.9,70.21,11.64,60,53,eMBB,High
2867,500,17.35,97,2.04,405.08,6.55,43.42,0.3,124,18,eMBB,Low
1237,1349,22.49,85,8.86,1031.06,13.7,71.16,9.43,70,67,URLLC,Medium
2627,1340,8.86,36,3.48,402.74,6.48,50.24,3.86,69,29,mMTC,Low
4217,1637,43.32,98,0.04,1498.3,9.71,85.62,0.45,138,59,eMBB,Low
3520,264,61.9,43,6.97,18.93,25.68,63.41,11.01,107,29,URLLC,High
5945,547,76.37,36,5.87,38.66,22.67,93.75,1.68,20,45,URLLC,High
4878,833,48.87,68,5.13,420.27,16.39,76.33,6.62,130,36,eMBB,Medium
4006,442,54.17,94,6.45,293.0,19.28,96.71,3.29,81,81,URLLC,High
3737,1386,9.23,95,2.61,1194.64,4.98,62.11,0.78,87,41,eMBB,Low
3053,1656,19.76,65,1.31,988.32,8.07,43.09,0.6,110,10,eMBB,Low
6029,415,64.37,44,2.76,27.68,19.54,67.16,1.39,9,26,mMTC,Medium
2467,241,27.6,70,2.21,103.92,5.35,44.23,0.86,154,18,mMTC,Low
4321,1263,44.06,83,8.36,867.23,20.52,105.92,9.13,11,93,mMTC,High
376,1577,5.0,83,2.23,1275.19,0.96,52.48,5.83,6,54,eMBB,Low
2099,1704,27.68,37,7.24,539.97,17.23,96.3,4.11,144,75,eMBB,Medium
1327,1425,5.0,39,2.85,509.38,4.77,51.77,5.02,113,41,URLLC,Low
6437,91,89.85,95,9.48,5.0,33.01,94.85,11.15,25,54,eMBB,High
3852,1527,15.71,60,7.6,761.87,17.07,48.2,10.93,14,18,eMBB,Medium
3835,1176,50.04,39,9.1,327.98,25.58,66.59,8.59,32,39,URLLC,High
795,667,48.58,49,11.22,276.4,24.53,97.89,10.62,61,93,eMBB,High
1409,280,7.65,50,1.04,103.56,3.09,59.53,3.84,46,47,mMTC,Low
4252,601,83.01,35,7.94,90.13,25.05,95.02,4.57,94,69,eMBB,High
3334,584,38.0,50,8.01,189.16,23.93,35.62,7.36,34,10,URLLC,High
4214,1791,6.19,71,4.69,1116.56,8.38,52.5,7.48,75,14,eMBB,Low
2411,867,46.15,37,10.5,232.45,23.42,94.76,5.78,122,72,URLLC,High
2941,1142,28.2,86,4.38,872.75,11.43,63.77,4.81,82,45,URLLC,Low
4308,139,62.78,81,10.6,5.0,29.74,99.81,11.83,24,74,eMBB,High
3659,657,65.14,47,13.32,183.04,35.84,106.86,9.85,56,87,mMTC,High
3498,400,67.29,89,9.99,238.91,31.7,100.77,5.22,31,82,mMTC,High
641,1538,5.0,55,4.52,798.01,8.71,40.92,8.73,62,33,mMTC,Low
2794,1739,5.0,100,0.0,1669.15,0.5,29.39,3.23,11,13,mMTC,Low
4774,1779,55.17,88,3.05,1406.38,16.49,106.73,1.2,62,87,URLLC,Low
1188,1511,19.1,61,4.55,857.06,12.49,81.61,4.23,76,77,mMTC,Medium
3463,1002,33.96,72,5.11,604.14,15.04,66.49,4.84,91,34,eMBB,Low
124,1489,5.0,92,1.37,1351.14,4.85,75.28,0.2,0,83,eMBB,Low
1672,1774,5.0,96,5.24,1586.87,8.59,35.18,9.78,178,16,eMBB,Low
6244,648,54.15,80,6.92,332.41,21.46,66.96,4.31,69,22,eMBB,Medium
3058,1181,35.77,45,8.49,417.4,16.81,97.59,6.97,135,77,eMBB,High
5768,1297,64.06,42,5.06,377.57,22.91,92.55,0.89,132,52,eMBB,Medium
4336,1388,40.68,98,4.75,1198.0,14.41,88.99,2.1,85,66,mMTC,Low
1867,606,28.67,55,7.19,266.65,20.17,59.74,10.68,38,45,eMBB,High
4843,603,49.93,97,3.76,445.51,14.07,51.86,7.3,22,23,eMBB,Low
2335,692,40.65,98,9.39,566.72,23.88,93.29,11.4,67,91,URLLC,High
300,1259,21.29,54,8.69,623.13,18.71,90.33,11.99,179,81,eMBB,High
3298,1443,25.66,42,5.86,494.01,13.38,63.39,4.46,3,36,mMTC,Medium
356,204,15.33,92,1.8,175.96,6.78,55.92,3.59,125,46,eMBB,Low
3847,950,64.13,80,12.52,584.53,35.38,103.05,10.3,174,80,mMTC,High
4742,359,74.82,65,13.7,88.16,40.34,103.3,11.98,20,85,mMTC,High
2341,996,24.44,43,5.89,348.73,15.9,56.99,7.56,104,34,eMBB,Medium
3275,701,63.54,49,12.25,226.55,29.84,99.93,9.54,65,76,eMBB,High
3706,925,19.0,60,3.52,446.07,6.59,37.33,9.38,6,13,mMTC,Low
3436,1761,46.88,44,6.86,644.64,22.38,111.91,4.26,48,88,URLLC,High
4997,753,55.46,63,10.26,308.9,25.43,103.13,6.89,15,83,URLLC,High
5137,1231,64.5,70,8.14,674.82,26.68,125.94,10.0,144,94,mMTC,High
513,393,5.0,71,4.15,256.56,8.22,32.63,8.26,83,25,eMBB,Low
2114,411,21.01,57,1.96,177.59,9.75,48.16,0.25,86,28,eMBB,Low
